"","Roubo e Furto","Colisão Parcial","Colisão Perda Total","Incêndio","Assistência 24H","Compreensivo"
"003237-9",0,7.63,568.13,0,35.61,611.37
"003238-7",0,0,0,0,50,50
"003239-5",0,0,0,0,0,0
"003240-9",0,0,2371.18,0,2597.02,4968.2
"003241-7",0,0,0,0,46.72,46.72
"003242-5",0,0,0,0,25.14,25.14
"003243-3",0,0,0,0,0,0
"003244-1",82.08,100.12,369.95,0,343.97,896.12
"003245-0",42.37,88.04,386.1,49.15,538.67,1104.33
"003246-8",91.59,21.83,178.25,0,84.09,375.76
"003247-6",0,0,0,0,37.73,37.73
"003248-4",0,260.86,0,0,20.31,281.17
"003249-2",0,0,0,0,1020.35,1020.35
"003250-6",0,0,0,0,19.82,19.82
"003251-1",0,0,0,0,0,0
"003251-4",0,0,0,0,124.96,124.96
"003252-2",370.59,40.3,0,0,275.09,685.98
"003253-0",718.39,223.94,471.19,0,269.72,1683.24
"003254-9",200.73,47.34,217.99,0,29.04,495.1
"003255-7",133.24,50.63,0,149.21,102.39,435.47
"003256-5",0,645.41,0,0,47.45,692.86
"003256-6",0,0,0,0,0,0
"003257-3",0,0,0,0,69.89,69.89
"003257-7",0,0,0,0,0,0
"003258-1",0,0,0,0,113.72,113.72
"003259-0",466.94,356.04,642.75,14.29,1017.4,2497.42
"003260-3",488.03,222.08,382.76,21.34,663.21,1777.42
"003261-1",61.87,134.03,350.16,0,471.41,1017.47
"003262-0",321.92,352.67,543.78,22.01,677.81,1918.19
"003263-8",185.14,24.94,345.62,185.83,135.11,876.64
"003264-6",70.7,40.93,257.54,0,266.25,635.42
"003265-4",78.38,83.07,583.86,96.14,159.11,1000.56
"003266-2",489.66,352.02,613.28,21.32,453.41,1929.69
"003267-0",259.91,41.21,165.11,0,175.44,641.67
"003268-9",363.7,232.47,378.29,34.73,228.11,1237.3
"003269-7",839.85,543.11,807.3,78.39,918.84,3187.49
"003270-0",759.72,565.32,636.07,34.88,619.45,2615.44
"003271-9",467.69,343.19,389.16,42.81,438.22,1681.07
"003272-7",0,71.41,0,0,0,71.41
"003273-5",0,0,0,0,0,0
